Elead ID,City,State,Zip,Bought Veh,Bought Veh Model,Bought Veh Trim,Bought Veh Price,Sale Date,Stock#,Vin#
7102488,DULUTH,GA,30097,Honda,CR-V,,24500,8/5/17,15514B,5J6RM3H70GL023392
7099958,SANTA ROSA BEACH,FL,32459,Mercedes-Benz,S-Class,S550 4dr Rear-wheel Drive Sedan,85200,8/5/17,15537,WDDUG8CB4HA284205
7102498,MILTON,GA,30004,Porsche,718 Boxster,Base 2dr Rear-wheel Drive Convertible,52000,8/7/17,15595,WP0CA2A89HS221431
7102491,CUMMING,GA,30041,BMW,X3,xDrive35i 4dr All-wheel Drive Sports Activity Vehicle,27800,8/8/17,15536,5UXWX7C52E0E81268
7102505,CHARLOTTESVILLE,VA,22902,Aston Martin,V8 Vantage,,85201,8/8/17,15236,SCFEBBAL0GGC20037
7102502,CAMBRIDGE,MD,21613,Mercedes-Benz,SLSAMG-Class,SLS AMG 2dr Coupe,175000,8/9/17,15594,WDDRJ7HA8BA004827
7102519,SAVANNAH,GA,31404,Mercedes-Benz,S-Class,S550 4dr Rear-wheel Drive Sedan,59990,8/10/17,15610,WDDUG8CB5EA058475
7102495,ROCKINGHAM,NC,28379,BMW,X5,xDrive35i 4dr All-wheel Drive Sports Activity Vehicle,51700,8/11/17,15525,5UXKR0C36H0V78523
7102507,NEW HYDE PARK,NY,11040,BMW,M6,Base 2dr Rear-wheel Drive Coupe,79391,8/11/17,15092,WBS6J9C59GD934527
7102508,APEX,NC,27539,Porsche,Boxster,S 2dr Rear-wheel Drive Convertible,46401,8/11/17,15573,WP0CB2A81DK132220
7102509,SPRINGFIELD,MO,65806,Ferrari,California,Base 2dr Convertible,105595,8/11/17,15600C,ZFF65LHA2A0173032
7102497,ROUND ROCK,TX,78664,BMW,550,i 4dr Rear-wheel Drive Sedan,52091,8/12/17,15567,WBAKN9C54GD962484
7102499,DAHLONEGA,GA,30533,BMW,535,i 4dr Rear-wheel Drive Sedan,40265,8/12/17,15343,WBA5B1C55GG551701
7102500,JACKSONVILLE,FL,32258,Mercedes-Benz,S-Class,S550 4dr Rear-wheel Drive Sedan,56420,8/12/17,15562,WDDUG8CBXEA056804
7102504,MACON,GA,31210,BMW,X6 M,Base 4dr All-wheel Drive Sports Activity Coupe,53990,8/14/17,15616,5YMGZ0C52E0J99871
7102511,EL PASO,TX,79925,Porsche,Cayenne,,34890,8/14/17,15602,WP1AB2A24DLA85714
7102513,LOVELAND,CO,80538,BMW,M235,i 2dr Rear-wheel Drive Convertible,37400,8/15/17,15434,WBA1M1C55GV394191
7102514,COLUMBUS,OH,43221,Porsche,Macan,Turbo 4dr All-wheel Drive,67800,8/15/17,15601,WP1AF2A57GLB91478
7102506,CUMMING,GA,30040,Porsche,Cayenne,Turbo 4dr All-wheel Drive,76000,8/16/17,15541,WP1AC2A23FLA82691
7102510,ALPINE,AL,35014,Mercedes-Benz,CLS-Class,CLS550 4dr Coupe,15500,8/16/17,15497A,WDDDJ72X29A141392
7102512,POWDER SPRINGS,GA,30127,BMW,335,i 2dr Rear-wheel Drive Coupe,14887,8/16/17,15445A,WBAKG7C55CE802102
7102524,DESTIN,FL,32541,Dodge,Viper,SRT10 2dr Convertible,57500,8/16/17,15486A,1B3JZ65Z78V201110
7102515,LAWRENCEVILLE,GA,30044,Mercedes-Benz,E-Class,E350 2dr Cabriolet,40990,8/17/17,15538A,WDDKK5KF6EF273794
7100511,BOCA RATON,FL,33434,BMW,X6,xDrive35i 4dr All-wheel Drive Sports Activity Coupe,54391,8/18/17,15618,5UXKU2C5XG0N81385
7102522,BUFORD,GA,30519,BMW,M6 Gran Coupe,Base 4dr Sedan,85490,8/18/17,15467,WBS6C9C51FD467757
7102523,SNELLVILLE,GA,30078,Land Rover,Range Rover,3.0L V6 Supercharged HSE 4dr 4x4,74390,8/18/17,15627,SALGS2VF7FA243091
7102516,PEACHTREE CITY,GA,30269,Chevrolet,Corvette,,76000,8/19/17,15556,1G1YU3D6XG5602420
